School,Gender,Address,Family_Size,Parental_Status,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Age,Study_Time,Failures,Absences,G1,G2,G3,Dropped_Out
MS,M,R,LE3,T,no,no,no,no,yes,yes,no,no,services,other,reputation,father,21,3,3,12,7,5,4,1
MS,M,R,LE3,T,yes,yes,yes,yes,no,yes,yes,no,health,other,reputation,other,16,3,0,25,13,13,13,0
GP,F,R,LE3,T,yes,yes,yes,yes,yes,no,no,no,teacher,other,other,father,18,2,2,7,5,6,9,1
MS,F,R,GT3,T,no,no,yes,yes,yes,yes,yes,yes,other,health,reputation,mother,18,1,2,25,10,7,8,1
GP,M,U,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,other,services,home,father,19,1,3,13,5,6,3,1
MS,M,R,GT3,A,yes,no,yes,yes,yes,no,no,yes,teacher,health,home,father,21,1,0,40,10,9,10,1
MS,F,U,LE3,A,yes,yes,yes,no,no,yes,no,no,health,services,home,father,17,4,0,5,9,9,6,1
MS,F,R,LE3,T,yes,yes,yes,no,yes,no,yes,yes,other,teacher,other,other,16,4,1,15,15,17,18,0
MS,F,U,LE3,A,no,no,no,no,no,no,yes,no,health,teacher,reputation,mother,17,2,1,98,9,9,10,1
MS,F,R,LE3,A,no,yes,no,no,yes,yes,yes,no,teacher,teacher,other,other,20,2,3,33,15,14,17,1
MS,M,R,LE3,A,yes,no,yes,no,yes,yes,yes,no,other,services,home,mother,21,3,0,39,14,14,12,0
MS,F,U,LE3,T,no,yes,yes,yes,yes,no,yes,yes,at_home,teacher,other,father,19,2,2,90,16,18,15,1
MS,M,U,GT3,T,no,no,yes,yes,no,no,yes,no,at_home,health,reputation,father,20,4,3,99,10,9,12,1
GP,F,U,LE3,T,no,yes,yes,no,yes,yes,yes,yes,other,services,reputation,mother,16,2,1,11,12,14,13,0
GP,F,R,GT3,T,yes,no,no,yes,yes,yes,no,no,services,other,course,other,17,3,3,0,13,12,11,1
MS,F,U,LE3,A,no,no,yes,yes,no,no,yes,yes,other,services,course,other,18,3,0,28,7,7,6,1
MS,M,U,GT3,T,yes,yes,yes,no,yes,no,no,yes,other,health,course,father,18,3,3,80,9,10,11,1
MS,M,U,LE3,T,no,no,yes,no,yes,yes,no,yes,other,health,home,mother,19,4,1,81,18,17,17,1
GP,F,U,GT3,T,yes,no,yes,no,no,yes,no,yes,teacher,health,course,mother,21,1,0,48,19,16,15,0
MS,M,U,GT3,A,no,yes,yes,no,no,yes,yes,no,other,teacher,home,mother,20,1,2,15,18,17,19,0
GP,M,U,LE3,A,yes,yes,no,no,yes,no,no,yes,other,other,other,mother,18,4,1,98,10,7,8,1
GP,F,U,LE3,A,no,no,yes,no,yes,no,no,yes,teacher,other,reputation,father,17,3,1,8,17,18,20,0
GP,F,U,GT3,A,no,no,no,no,no,no,yes,no,other,at_home,other,other,19,3,1,58,5,4,6,1
GP,M,U,LE3,A,no,yes,yes,yes,no,yes,yes,no,at_home,health,course,father,20,4,3,38,5,8,7,1
GP,M,R,LE3,T,yes,no,no,no,no,no,yes,no,at_home,teacher,course,mother,15,1,1,37,5,4,2,1
MS,M,R,LE3,A,yes,no,yes,no,no,no,yes,yes,other,services,home,other,19,3,3,5,6,5,6,1
MS,F,U,GT3,A,yes,no,no,yes,no,yes,no,yes,teacher,teacher,home,father,18,3,3,89,8,11,14,1
MS,F,R,LE3,T,yes,no,yes,no,no,no,yes,yes,other,health,other,mother,16,1,0,80,10,7,4,1
MS,M,R,GT3,T,yes,no,no,yes,no,no,yes,yes,other,teacher,other,father,19,4,0,87,7,8,9,1
MS,F,U,GT3,T,no,no,yes,yes,no,no,no,yes,health,health,course,mother,17,2,1,73,13,13,15,1
GP,F,U,LE3,A,no,no,no,no,no,no,yes,yes,services,services,home,father,20,3,3,95,7,9,7,1
MS,M,U,GT3,T,yes,no,yes,no,no,no,no,no,teacher,services,home,father,19,1,2,58,17,19,16,1
MS,M,U,LE3,A,yes,yes,yes,no,yes,no,yes,yes,services,other,other,father,18,4,3,2,8,6,5,1
GP,F,U,LE3,T,yes,yes,yes,yes,no,no,no,no,health,at_home,home,mother,19,1,0,18,8,11,12,0
MS,F,U,GT3,A,no,yes,no,no,no,no,no,no,services,teacher,other,other,17,1,0,98,15,14,12,1
GP,M,R,GT3,A,no,no,no,yes,no,no,yes,yes,other,at_home,reputation,other,17,2,3,26,19,18,15,1
MS,F,U,GT3,A,no,no,no,yes,no,yes,yes,yes,at_home,teacher,course,mother,18,3,3,24,9,8,10,1
GP,F,R,GT3,A,yes,yes,no,no,yes,yes,yes,yes,teacher,other,home,other,21,3,3,84,9,9,9,1
MS,M,U,GT3,T,no,yes,yes,no,no,no,no,yes,teacher,other,home,other,17,3,2,65,6,7,8,1
MS,M,U,LE3,T,yes,yes,yes,yes,yes,yes,yes,yes,other,services,reputation,father,18,2,3,83,10,7,9,1
GP,F,R,GT3,A,no,yes,no,no,no,no,yes,no,services,services,reputation,father,19,1,1,22,13,13,14,0
GP,F,U,LE3,T,no,yes,no,yes,yes,yes,yes,no,teacher,services,reputation,mother,19,4,1,62,9,10,12,1
GP,F,U,LE3,A,yes,no,no,yes,no,yes,no,no,health,teacher,other,mother,15,1,0,57,5,3,2,1
GP,M,R,GT3,T,no,no,yes,yes,no,no,no,no,health,at_home,other,father,18,3,2,96,13,15,15,1
GP,F,U,GT3,T,yes,no,no,no,yes,no,yes,yes,services,at_home,reputation,mother,16,2,2,49,11,12,11,1
GP,F,R,GT3,A,no,no,no,yes,yes,no,yes,no,health,services,course,mother,18,1,0,7,19,20,20,0
GP,M,U,GT3,A,no,no,no,no,no,yes,yes,yes,at_home,other,course,other,19,2,1,50,11,8,11,1
GP,M,U,GT3,T,no,no,no,yes,no,yes,no,yes,other,at_home,home,mother,20,4,1,41,15,16,19,0
MS,F,R,LE3,A,no,no,yes,yes,yes,no,yes,yes,teacher,other,other,mother,19,4,2,93,10,11,8,1
MS,M,U,LE3,T,no,no,yes,no,yes,yes,yes,no,other,services,course,father,17,3,3,62,5,7,4,1
GP,M,R,LE3,T,yes,yes,no,yes,yes,yes,no,yes,services,teacher,home,mother,15,2,3,30,15,18,20,0
MS,F,R,GT3,T,no,no,yes,yes,no,yes,yes,no,other,health,course,father,16,3,2,58,11,10,11,1
MS,M,R,GT3,A,yes,yes,no,yes,no,no,yes,no,teacher,at_home,other,mother,21,2,2,81,8,5,6,1
MS,M,U,LE3,A,yes,yes,no,no,no,no,no,no,teacher,services,course,other,15,2,2,94,9,12,14,1
MS,F,U,GT3,T,yes,yes,no,yes,no,no,yes,yes,services,services,course,father,18,4,2,89,11,12,9,1
GP,M,R,GT3,A,no,no,no,yes,no,no,yes,yes,teacher,at_home,other,mother,20,1,2,87,7,8,8,1
MS,F,U,GT3,A,yes,no,no,yes,no,no,yes,yes,health,health,home,mother,18,1,2,50,6,9,12,1
GP,F,U,LE3,T,no,yes,yes,no,no,no,no,no,other,teacher,home,other,19,4,2,56,15,14,13,1
MS,M,U,GT3,A,no,yes,yes,yes,no,no,no,no,at_home,at_home,reputation,mother,17,4,2,4,5,8,5,1
MS,M,R,LE3,A,no,yes,no,yes,no,yes,yes,yes,at_home,teacher,home,other,16,2,3,74,12,9,6,1
MS,M,U,GT3,T,yes,yes,yes,yes,no,no,yes,no,at_home,services,reputation,father,21,1,0,51,12,10,8,1
GP,F,R,GT3,A,no,yes,no,yes,no,yes,no,yes,services,at_home,other,father,20,3,1,87,11,8,9,1
MS,M,U,LE3,T,no,no,no,yes,yes,no,no,yes,at_home,teacher,home,mother,17,3,0,64,14,14,14,0
GP,F,U,GT3,A,no,no,yes,yes,no,yes,no,no,other,other,other,father,16,1,0,11,18,21,20,0
MS,M,R,GT3,A,yes,no,yes,yes,no,yes,no,yes,teacher,other,home,other,20,1,2,22,13,14,12,1
GP,M,U,GT3,T,no,yes,no,no,yes,no,no,no,health,other,course,other,15,1,2,51,14,16,14,1
MS,M,R,LE3,T,no,no,no,yes,yes,yes,yes,no,at_home,teacher,home,mother,21,2,2,88,15,15,17,1
GP,F,U,GT3,A,no,yes,no,yes,no,no,yes,no,at_home,other,course,other,19,4,0,62,5,5,2,1
GP,M,R,GT3,T,yes,yes,yes,no,no,yes,no,yes,at_home,services,home,other,17,4,3,75,7,5,6,1
MS,M,U,GT3,T,yes,no,yes,no,no,no,yes,yes,health,teacher,other,other,18,2,2,2,9,10,7,1
GP,F,U,GT3,A,no,no,yes,no,no,yes,yes,yes,other,services,reputation,mother,21,3,2,23,18,15,13,1
MS,F,U,GT3,T,no,yes,yes,yes,yes,yes,yes,yes,at_home,health,home,father,19,2,1,89,6,8,6,1
MS,M,R,LE3,A,no,yes,no,no,yes,no,yes,no,teacher,teacher,other,other,16,1,3,78,11,10,13,1
MS,M,R,LE3,A,yes,no,yes,yes,no,no,yes,no,services,other,course,father,21,4,2,94,16,19,18,1
MS,M,R,GT3,T,yes,no,yes,no,yes,no,yes,no,health,other,course,father,20,4,3,41,10,11,8,1
MS,F,U,GT3,A,yes,no,no,yes,no,no,yes,yes,other,health,course,mother,21,2,1,20,16,16,13,0
MS,F,R,LE3,T,yes,yes,no,no,no,yes,no,no,teacher,at_home,course,mother,19,4,0,84,15,15,18,0
MS,F,R,GT3,A,yes,no,no,yes,no,yes,yes,no,health,health,other,father,18,2,1,84,14,17,17,1
MS,F,R,GT3,T,no,no,yes,yes,no,no,yes,no,health,other,home,mother,18,4,3,24,6,9,8,1
MS,M,R,GT3,T,no,yes,no,no,no,no,yes,yes,services,other,course,father,16,2,2,11,12,13,14,0
MS,F,R,GT3,A,yes,yes,no,no,no,no,yes,no,services,at_home,course,other,19,1,2,47,7,10,7,1
MS,F,R,GT3,T,no,yes,yes,yes,no,yes,no,no,other,health,home,father,17,2,1,81,8,6,3,1
GP,F,R,GT3,T,yes,yes,yes,no,no,no,yes,no,at_home,services,other,father,19,4,1,73,18,15,16,0
GP,M,R,GT3,T,no,no,no,yes,no,yes,yes,no,services,health,course,other,21,2,3,69,9,11,10,1
MS,M,R,GT3,A,no,yes,no,yes,no,no,yes,no,other,services,reputation,mother,18,2,3,56,10,9,6,1
MS,F,R,LE3,A,yes,yes,no,yes,no,no,no,yes,health,other,other,father,20,4,3,28,16,18,19,0
MS,F,U,LE3,T,no,no,yes,yes,yes,yes,no,no,at_home,other,reputation,mother,16,1,2,28,13,15,18,0
MS,M,U,GT3,T,no,no,yes,yes,no,yes,yes,yes,teacher,health,other,other,15,2,1,92,16,14,14,1
MS,M,R,GT3,A,yes,yes,no,no,yes,yes,no,no,health,other,course,father,15,3,3,45,13,15,18,1
MS,M,U,GT3,A,yes,yes,yes,no,yes,yes,yes,yes,other,at_home,other,father,20,3,1,8,13,15,12,0
MS,M,U,GT3,A,yes,yes,yes,yes,no,no,no,yes,teacher,teacher,other,father,19,1,2,31,12,9,10,1
MS,M,R,LE3,T,no,no,no,no,no,yes,no,yes,health,services,reputation,father,18,1,0,12,9,10,8,0
GP,M,R,LE3,A,yes,no,yes,no,yes,yes,no,yes,services,other,other,mother,19,4,3,52,9,7,4,1
MS,M,R,LE3,T,yes,yes,yes,yes,yes,yes,yes,no,other,services,other,mother,16,4,0,74,18,20,20,0
GP,M,U,LE3,A,yes,no,no,yes,yes,no,no,no,teacher,health,course,other,17,2,2,97,8,7,8,1
MS,F,R,GT3,T,yes,yes,yes,no,yes,yes,yes,yes,services,at_home,home,mother,15,1,1,53,18,15,18,0
MS,F,U,GT3,A,no,yes,yes,no,yes,no,no,yes,teacher,services,reputation,father,19,2,0,28,19,20,21,0
GP,F,R,GT3,T,no,yes,no,no,yes,no,yes,yes,at_home,other,reputation,other,18,4,1,50,11,14,11,1
MS,F,U,LE3,A,yes,yes,no,yes,no,yes,no,no,at_home,teacher,home,father,20,2,3,75,15,18,16,1
GP,F,U,GT3,A,no,no,yes,yes,no,no,yes,no,other,at_home,reputation,father,21,2,3,48,8,5,6,1
MS,F,R,GT3,T,no,yes,no,no,yes,no,yes,yes,teacher,health,course,other,21,2,2,94,19,18,19,1
MS,M,R,LE3,A,yes,yes,no,yes,yes,no,yes,no,at_home,other,other,father,15,1,3,40,9,10,13,1
GP,M,U,LE3,A,yes,yes,yes,yes,no,no,no,yes,health,at_home,other,father,15,3,1,85,18,18,16,1
MS,F,U,LE3,A,yes,yes,no,yes,no,no,no,yes,health,other,course,other,17,1,3,89,13,13,13,1
GP,F,R,LE3,A,yes,yes,yes,no,no,yes,yes,yes,at_home,health,reputation,mother,19,2,0,11,11,9,6,1
MS,M,R,LE3,T,no,yes,no,no,no,no,no,no,at_home,health,other,other,17,4,1,34,13,14,16,0
GP,M,U,GT3,T,no,yes,yes,yes,no,no,yes,no,other,teacher,home,other,18,3,3,3,12,15,12,1
GP,M,R,GT3,A,no,no,no,no,no,no,no,no,other,at_home,other,other,18,2,0,44,15,16,13,0
MS,F,U,LE3,T,no,no,no,yes,no,no,yes,yes,health,teacher,course,mother,19,2,1,48,16,14,13,1
MS,M,R,GT3,T,yes,no,no,yes,yes,yes,no,no,services,teacher,other,other,15,4,0,73,7,9,6,1
GP,F,R,GT3,T,yes,no,no,yes,yes,yes,no,no,teacher,teacher,course,mother,16,2,1,17,7,4,6,1
MS,F,R,GT3,T,no,no,no,yes,no,no,yes,yes,services,services,reputation,father,17,2,0,45,16,14,12,0
MS,M,U,GT3,T,yes,yes,no,no,yes,no,yes,no,other,health,home,other,21,3,0,82,19,21,18,0
MS,M,R,LE3,A,no,no,yes,yes,no,no,yes,yes,services,teacher,course,father,15,1,3,57,6,7,9,1
GP,F,U,GT3,T,no,no,yes,no,yes,yes,no,no,other,services,home,father,20,4,2,14,16,18,18,0
GP,M,R,GT3,A,no,yes,yes,yes,no,no,yes,yes,services,services,reputation,mother,18,4,3,57,7,7,6,1
GP,M,U,GT3,T,no,yes,no,no,yes,yes,yes,yes,health,services,reputation,father,21,4,1,22,18,15,13,0
GP,F,U,LE3,A,yes,no,yes,no,yes,yes,yes,yes,other,teacher,course,father,18,1,0,22,14,16,14,0
GP,M,R,GT3,A,yes,yes,no,yes,yes,yes,yes,no,health,services,other,other,15,1,1,84,19,22,22,0
GP,F,U,LE3,A,no,no,no,no,no,yes,yes,no,services,teacher,home,father,15,3,3,25,18,19,16,1
GP,F,U,LE3,T,yes,yes,yes,yes,yes,no,no,no,at_home,at_home,other,other,20,3,1,33,7,10,12,1
GP,M,U,LE3,T,no,no,no,yes,no,yes,yes,no,at_home,health,home,father,18,4,3,40,7,6,5,1
GP,F,U,LE3,A,no,no,yes,no,no,no,yes,no,teacher,other,reputation,mother,17,1,3,76,19,22,24,0
MS,F,R,GT3,A,no,yes,yes,yes,no,no,yes,no,at_home,teacher,reputation,father,17,3,2,56,15,15,18,0
GP,M,R,LE3,T,yes,yes,yes,yes,yes,no,no,no,teacher,health,reputation,mother,15,2,3,24,10,10,9,1
MS,M,R,LE3,T,no,yes,no,yes,yes,no,no,yes,services,teacher,other,other,19,1,0,53,13,11,14,0
MS,M,U,LE3,A,no,no,no,no,yes,yes,no,yes,teacher,at_home,reputation,other,18,2,3,43,16,17,16,1
MS,F,U,LE3,T,yes,no,no,yes,yes,yes,no,yes,teacher,health,other,father,16,3,3,96,17,18,16,1
GP,F,R,LE3,T,yes,no,yes,no,no,yes,no,no,teacher,health,reputation,father,18,2,0,91,11,14,14,1
GP,M,R,GT3,T,yes,no,yes,no,no,yes,yes,yes,health,services,other,other,17,3,3,12,11,14,12,1
GP,F,U,LE3,T,no,yes,no,yes,no,yes,no,yes,teacher,teacher,course,other,17,4,1,53,11,9,6,1
GP,M,R,GT3,T,no,no,no,no,yes,no,yes,no,other,teacher,course,other,16,4,2,26,5,6,9,1
MS,M,R,GT3,T,yes,no,no,yes,yes,no,yes,yes,services,other,home,mother,17,4,0,7,8,9,10,0
GP,F,U,LE3,A,yes,no,yes,no,yes,yes,no,yes,health,services,other,father,16,1,0,99,13,15,14,1
GP,M,R,GT3,A,yes,yes,yes,yes,yes,yes,no,no,other,services,other,other,17,1,1,42,8,8,7,1
GP,F,U,GT3,A,no,no,no,yes,no,no,yes,no,services,other,course,other,20,4,0,69,11,8,7,1
GP,F,R,GT3,A,yes,yes,no,no,yes,yes,no,yes,health,services,course,father,16,1,1,76,6,5,3,1
GP,M,U,LE3,A,no,no,no,no,yes,yes,no,no,services,services,course,father,19,3,0,83,10,9,8,1
MS,F,U,LE3,A,yes,yes,yes,yes,yes,no,no,no,at_home,at_home,home,mother,18,2,3,54,9,6,5,1
GP,M,U,LE3,T,no,yes,yes,no,no,yes,no,no,services,health,course,other,17,3,0,63,14,13,14,0
MS,F,U,LE3,T,yes,yes,yes,no,yes,yes,no,yes,at_home,other,home,father,15,4,2,4,6,3,3,1
GP,F,U,LE3,A,no,no,no,no,yes,no,yes,yes,at_home,at_home,home,mother,16,2,0,58,16,17,20,0
MS,F,R,LE3,A,yes,yes,yes,no,yes,no,no,no,services,at_home,course,other,16,3,0,26,15,13,10,0
GP,M,R,LE3,A,yes,yes,yes,yes,no,yes,yes,no,at_home,at_home,course,mother,16,2,2,18,18,20,22,0
GP,F,R,GT3,T,no,no,no,no,no,no,yes,yes,health,services,course,father,17,1,0,64,19,20,18,0
MS,M,U,GT3,T,no,no,yes,no,no,no,no,no,at_home,other,other,mother,18,2,1,67,7,10,13,1
MS,F,R,LE3,T,yes,no,no,no,yes,yes,no,no,teacher,services,reputation,other,15,2,1,65,7,5,8,1
MS,F,U,GT3,T,no,no,yes,yes,no,no,yes,yes,health,services,other,father,16,4,2,25,7,10,7,1
GP,M,U,LE3,A,no,no,no,yes,yes,yes,yes,no,health,at_home,home,other,21,1,3,32,18,15,15,1
MS,M,R,LE3,A,yes,yes,yes,no,yes,yes,yes,no,health,teacher,home,mother,16,3,0,37,9,12,9,1
GP,M,U,LE3,A,yes,no,no,yes,no,yes,no,no,teacher,other,reputation,mother,16,4,2,6,14,15,13,0
GP,M,R,GT3,A,yes,yes,no,no,no,no,yes,no,teacher,other,reputation,mother,20,2,2,92,13,16,19,1
MS,M,U,LE3,T,no,yes,no,yes,yes,yes,no,yes,teacher,at_home,course,father,16,3,0,4,17,14,17,0
MS,F,U,LE3,T,yes,yes,no,no,no,no,yes,yes,teacher,at_home,other,mother,15,2,3,8,11,13,14,1
GP,F,R,LE3,A,yes,no,yes,no,no,no,yes,yes,teacher,health,other,father,16,2,0,12,10,12,9,0
GP,M,U,LE3,T,no,yes,no,yes,no,no,no,yes,other,at_home,other,mother,20,3,0,39,8,11,11,0
MS,F,R,GT3,T,yes,yes,yes,yes,no,yes,no,yes,other,services,reputation,mother,15,2,2,47,17,17,15,1
MS,F,U,LE3,T,yes,yes,no,yes,no,yes,no,no,teacher,at_home,other,father,15,2,3,45,9,12,12,1
MS,F,R,GT3,T,no,no,yes,yes,no,yes,no,yes,health,other,reputation,father,16,3,2,63,10,12,14,1
GP,M,U,GT3,A,yes,yes,no,yes,no,yes,no,yes,at_home,teacher,other,father,19,3,3,63,16,18,21,0
GP,F,R,LE3,T,no,no,no,yes,no,yes,no,no,at_home,teacher,reputation,other,15,4,3,28,12,9,6,1
GP,F,R,LE3,A,no,yes,yes,yes,yes,yes,yes,yes,other,services,other,mother,19,3,2,17,13,15,13,1
GP,F,U,GT3,T,no,no,yes,yes,yes,yes,yes,no,teacher,teacher,home,other,15,4,3,29,6,7,4,1
GP,M,R,GT3,T,yes,yes,yes,no,no,no,no,yes,services,at_home,reputation,mother,20,3,0,73,12,10,12,1
GP,F,U,GT3,A,no,no,no,no,no,yes,no,no,at_home,teacher,course,mother,21,4,2,18,19,19,18,0
MS,F,U,GT3,A,no,yes,yes,yes,yes,yes,yes,yes,at_home,at_home,home,mother,17,4,2,47,12,13,11,1
GP,M,R,LE3,T,yes,no,no,yes,no,yes,no,no,health,health,home,mother,16,2,0,8,17,18,20,0
GP,M,R,GT3,T,yes,no,yes,yes,no,yes,no,no,at_home,other,reputation,other,17,1,3,84,11,12,9,1
GP,F,R,GT3,A,yes,yes,yes,yes,yes,no,yes,no,other,services,other,mother,15,3,3,0,8,11,9,1
MS,F,R,GT3,T,yes,no,no,no,no,no,yes,no,teacher,health,other,other,17,3,3,89,16,16,17,1
GP,M,R,GT3,T,yes,no,yes,no,no,yes,yes,no,teacher,teacher,reputation,father,16,2,0,77,13,14,17,0
GP,M,U,LE3,A,no,yes,no,no,yes,no,no,yes,at_home,services,other,other,21,1,2,38,11,13,16,0
MS,M,R,LE3,T,no,yes,yes,no,no,yes,yes,no,services,at_home,other,mother,16,1,1,92,9,7,9,1
GP,M,U,LE3,T,yes,no,yes,yes,yes,no,yes,yes,other,health,other,other,21,3,2,54,8,10,9,1
GP,M,R,GT3,T,yes,yes,no,yes,no,yes,yes,no,at_home,other,reputation,other,15,3,1,51,10,11,11,1
GP,M,R,GT3,T,no,yes,yes,yes,no,yes,no,yes,other,other,reputation,father,15,4,2,70,19,18,15,1
GP,M,R,LE3,T,no,no,no,yes,yes,no,no,no,services,health,course,father,19,1,1,63,10,7,7,1
GP,F,U,LE3,A,yes,yes,yes,no,yes,yes,yes,no,other,health,other,father,18,1,0,23,13,16,13,0
MS,M,R,GT3,T,yes,yes,yes,yes,yes,no,no,no,other,health,other,mother,21,4,3,26,11,10,8,1
MS,M,U,LE3,A,no,yes,yes,no,no,no,yes,yes,other,teacher,reputation,other,21,4,0,65,19,21,21,0
MS,F,U,GT3,A,yes,no,no,no,yes,yes,no,no,teacher,other,course,other,17,3,3,65,5,3,2,1
GP,M,U,GT3,T,yes,yes,no,no,yes,no,no,yes,services,other,reputation,father,19,1,2,61,8,6,3,1
GP,M,R,GT3,A,no,yes,no,yes,no,no,no,yes,teacher,teacher,reputation,mother,21,2,0,15,8,5,5,1
GP,F,U,GT3,T,no,no,yes,no,yes,yes,yes,no,health,services,course,mother,17,4,2,11,9,7,4,1
MS,M,R,GT3,A,yes,no,yes,no,yes,yes,no,yes,at_home,other,reputation,mother,16,1,3,39,9,7,8,1
GP,F,U,GT3,A,no,yes,no,yes,yes,no,yes,no,teacher,services,home,father,15,1,2,89,14,15,16,1
GP,F,R,LE3,A,no,yes,yes,yes,no,no,yes,no,other,services,course,mother,17,1,0,9,8,5,5,1
MS,F,U,LE3,T,yes,yes,yes,no,no,yes,no,yes,health,services,other,mother,18,1,1,63,19,22,23,0
GP,F,R,LE3,A,yes,no,yes,yes,yes,yes,yes,no,services,other,other,mother,16,4,3,54,7,6,5,1
MS,M,R,GT3,A,no,yes,no,yes,yes,yes,yes,no,services,at_home,course,father,20,2,2,78,10,11,11,1
MS,F,R,LE3,A,no,yes,no,yes,no,yes,yes,yes,teacher,services,other,father,16,2,1,88,15,16,14,1
MS,F,U,GT3,T,no,no,yes,no,no,no,no,no,other,at_home,home,other,19,4,1,3,18,17,17,0
GP,M,U,GT3,T,no,no,no,no,no,no,no,no,other,teacher,other,other,18,1,0,89,6,4,2,1
GP,F,R,GT3,A,yes,yes,no,no,no,yes,yes,no,services,at_home,course,other,16,4,2,22,16,16,17,0
GP,F,U,GT3,A,no,no,no,no,yes,no,yes,no,other,at_home,reputation,father,18,4,0,48,13,16,16,0
GP,F,U,LE3,A,no,yes,yes,no,yes,no,yes,yes,at_home,health,course,other,15,1,2,3,10,12,15,0
GP,F,U,LE3,A,no,no,yes,no,yes,yes,no,yes,teacher,services,course,mother,20,4,1,0,19,22,21,0
GP,M,U,LE3,T,no,no,yes,no,yes,yes,no,no,teacher,other,home,father,21,4,2,64,15,15,16,1
GP,F,U,GT3,T,yes,no,yes,yes,yes,yes,yes,no,other,health,other,father,18,1,3,38,9,11,14,1
MS,M,U,LE3,T,yes,yes,yes,yes,yes,yes,no,no,services,at_home,course,other,19,2,1,2,7,10,12,0
GP,M,U,LE3,A,yes,yes,yes,no,yes,yes,yes,yes,at_home,teacher,other,mother,19,4,3,56,8,6,7,1
MS,F,R,LE3,T,yes,yes,no,yes,yes,yes,yes,yes,at_home,other,reputation,mother,17,3,0,58,10,13,14,0
GP,F,R,GT3,A,yes,yes,yes,yes,no,no,no,yes,at_home,teacher,course,father,20,1,3,78,7,8,6,1
GP,F,U,LE3,A,no,no,no,no,yes,no,no,yes,health,at_home,course,father,15,3,0,17,14,13,11,0
GP,F,R,GT3,A,no,yes,no,no,no,yes,no,no,other,teacher,other,other,15,4,0,20,11,11,14,0
MS,M,R,LE3,T,yes,no,no,no,no,no,yes,yes,at_home,health,home,mother,18,2,3,55,19,20,19,1
MS,M,R,GT3,A,yes,no,no,no,no,no,yes,yes,other,teacher,home,father,19,4,2,51,9,9,7,1
MS,M,U,LE3,T,yes,no,yes,yes,yes,yes,no,no,services,health,other,mother,19,1,3,7,14,13,16,1
MS,F,U,LE3,A,yes,yes,yes,yes,yes,yes,yes,yes,services,services,course,father,19,2,2,24,5,6,8,1
GP,M,U,LE3,T,yes,no,yes,no,no,yes,yes,no,services,other,reputation,other,21,4,0,31,13,16,19,0
MS,F,U,GT3,A,no,yes,no,yes,yes,no,yes,no,health,teacher,home,father,15,1,3,69,13,16,19,1
GP,F,U,LE3,T,yes,yes,no,no,yes,yes,no,yes,services,health,home,father,19,3,3,39,5,2,-1,1
GP,F,R,LE3,A,no,no,no,yes,no,yes,no,yes,other,at_home,reputation,father,17,4,2,83,8,9,6,1
